650607	അഞ്ചുശരങ്ങളും പോരാതെ മന്മഥന്‍ നിന്‍ ചിരി സായകമാക്കി.	2187311	Kamdev has used your smile as an arrow as all the five arrows were found insufficient.
650676	പെട്ടെന്ന് അവന്‍ എന്നെ കണ്ടു.	650268	Suddenly he saw me.
650682	ദയവായി നിങ്ങളുടെ കുടുംബത്തെ പറ്റി ഞങ്ങളോട് പറയൂ.	649974	Please tell us about your family.
650709	നിങ്ങള്‍ എപ്പോഴെങ്കിലും ഒരു തിമിംഗലത്തെ കണ്ടിട്ടുണ്ടോ?	69421	Have you ever seen a whale?
650735	നിങ്ങള്‍ ഈ പുസ്തകം വായിക്കണം.	645080	You must read this book.
650749	ഞാന്‍ അവന്‍ വരുമെന്ന് വിചാരിച്ചു.	641018	I thought that he would come.
651275	അവള്‍ക്ക് ഐസ് ക്രീം ഇഷ്ടമാണ്.	650986	She likes ice cream.
651279	ഇന്നലെ ഞാനൊരു നായയെ വാങ്ങിച്ചു. ദൗര്‍ഭാഗ്യവശാല്‍ എന്റെ മാമി അതിനെ അത്താഴത്തിന് പാചകം ചെയ്തു.	651218	Yesterday I bought a dog. Sadly my aunt cooked it for dinner.
651324	എന്റെ മകന് എന്നേക്കാള്‍ ഉയരമുണ്ട്.	467341	My son is taller than I am.
651381	ഞാന്‍ ദൈവത്തില്‍ വിശ്വസിക്കുന്നില്ല.	506536	I don't believe in God.
651384	ഞാന്‍ അവനെ സന്ദര്‍ശിച്ചപ്പോള്‍ അവന്‍ വായനയില്‍ മുഴുകിയിരിക്കുകയായിരുന്നു.	247029	He was absorbed in reading when I visited him.
651477	ഈ കെട്ടിടത്തില്‍ ആരും താമസിക്കുന്നില്ല.	451748	No one lives in this building.
651480	നിങ്ങള്‍ ഏതു വര്‍ഷമാണ് ജനിച്ചത്?	509620	What year were you born?
651485	ആരും എന്നെ മനസ്സിലാക്കുന്നില്ല.	1484	Nobody understands me.
651492	ആരും ജോലി ചെയ്യുന്നില്ല. എല്ലാവരും ലോകകപ്പ് കാണുകയാണ്.	404295	No one is working. Everyone's watching the World Cup.
651494	ആ മരുന്ന് അവളുടെ ജീവന്‍ രക്ഷിച്ചു.	43566	The medicine saved her life.
651495	അവന്‍ ഊണ് കഴിക്കാന്‍ തുടങ്ങി.	301555	He began to eat lunch.
651499	ദയവായി നിങ്ങള്‍ സംസാരിക്കുന്നതിന് മുമ്പ് നിങ്ങളുടെ കൈ ഉയര്‍ത്തുക.	326568	Please raise your hand before you speak.
651928	വെളിച്ചം ശബ്ദത്തേക്കാള്‍ വേഗത്തില്‍ യാത്ര ചെയ്യുമെന്ന് നിങ്ങള്‍ക്കെങ്ങനെ അറിയാം?	240378	How do you know that light travels faster than sound?
651935	ബസ്സില്‍ പോകുന്നതാണ് ലാഭം.	35382	It is cheaper to go by bus.
651936	വന്യ മൃഗങ്ങള്‍ കാട്ടിലാണ് ജീവിക്കുന്നത്.	324123	Wild animals live in the forest.
651937	അവന് ഞങ്ങളെ ഇഷ്ടമല്ല.	322029	He doesn't like us.
651938	അവള്‍ പറഞ്ഞതെന്താണെന്ന് എനിക്ക് മനസ്സിലാക്കാന്‍ സാധിക്കുന്നില്ല.	261260	I can't make out what she said.
651939	ആ വാതില്‍ അകത്തു നിന്ന് പൂട്ടിയിരിക്കുകയായിരുന്നു.	39062	The door was locked from within.
651940	ഞാന്‍ മറന്നു.	436603	I forgot.
651941	ആര്‍ക്കും രണ്ടു കാര്യങ്ങള്‍ ഒരേ സമയത്ത് ചെയ്യാന്‍ സാധിക്കുകയില്ല.	72925	Nobody can do two things at once.
651942	ഇന്ന് രാത്രി മഴ പെയ്തേക്കും.	243400	It may rain tonight.
652202	എനിക്കൊരു ചുറ്റിക വേണം.	436815	I need a hammer.
652203	ഞാന്‍ ഇതൊഴിച്ച് വേറെ എന്തു വേണമെങ്കിലും ചെയ്യാം.	54920	I will do anything but this.
652204	എവിടെയാണ് വേദനിക്കുന്നത്?	37512	Where does it hurt?
652212	ആര് വന്നാലും വാതില്‍ തുറക്കണ്ട.	40420	Whoever comes, don't open the door.
652221	എന്റെ ജീവിതത്തിലെ ഏറ്റവും വേദനാജനകമായ അനുഭവം അതായിരിക്കും.	27590	That might be the most painful experience in my life.
652224	ഇംഗ്ലീഷ് പഠിക്കാന്‍ എളുപ്പമാണ്.	26285	English is easy to learn.
652225	ജൂഡി നന്നായി നൃത്തം ചെയ്യും.	53014	Judy dances very well.
652226	ആ പൂച്ച മേശപ്പുറത്ത് ഉറങ്ങി.	282032	The cat slept on the table.
652227	അവന്‍ രണ്ടാഴ്ചയ്ക്കുള്ളില്‍ തിരിച്ചു വരും.	293046	He will come back in another two weeks.
652229	ആ സിനിമ അവള്‍ക്ക് വളരെയധികം പ്രശസ്തി നേടി കൊടുത്തു.	49566	The movie gained her great popularity.
652230	ഈ സ്ഥലത്താണ് ആ യുദ്ധം നടന്നത്.	62157	This is the place where the battle took place.
652231	ദൗര്‍ഭാഗ്യവശാല്‍ എനിക്കവരെ സഹായിക്കാന്‍ കഴിയില്ല.	464304	Unfortunately, I cannot help them.
652232	നമുക്ക് സമയമില്ല.	449441	We don't have time.
652233	അവന്‍ ഫലങ്ങള്‍ വില്‍ക്കുന്നു.	434998	He sells fruit.
652235	ഞാന്‍ പ്രതീക്ഷച്ചതിനേക്കാള്‍ വലുതാണ് ഈ പൂന്തോട്ടം.	278505	The garden was larger than I had expected.
652237	അമേരിക്കന്‍ വിദ്യാര്‍ത്ഥികള്‍ കണക്കില്‍ പിന്തള്ളപ്പെട്ടു കൊണ്ടിരിക്കുകയാണ്.	67585	American students are falling behind in math.
